Hawaii.kml,13.403960,179.999999	21.40665,-160.9105
Hawaii.kml,9.266248,-155.964262	18.28285,-155.30088
Hawaii.kml,18.923445,-150.326502	18.94809,-153.99551
Hawaii.kml,22.647550,-157.004378	22.15479,-157.33432
NewZealand.kml,-50.052058,-179.999999	-44.62337,173.24321
NewZealand.kml,-32.684733,-168.789172	-37.16334,179.01364
NewZealand.kml,-28.099591,175.203627	-33.98195,173.84733
NewZealand.kml,-38.396534,172.446245	-38.64542,173.52490
TowerMuseum.kml,54.996604,-7.320742	54.99697,-7.32070
TowerMuseum.kml,55.001670,-7.313171	54.99752,-7.32075
TowerMuseum.kml,54.998505,-7.321754	54.99752,-7.32075
TowerMuseum.kml,54.997264,-7.321099	54.99718,-7.32114
craigavonbridge.kml,54.991275,-7.319300	54.99150,-7.31919
craigavonbridge.kml,54.990125,-7.318432	54.99040,-7.31829
craigavonbridge.kml,54.993961,-7.311851	54.98952,-7.31523
craigavonbridge.kml,54.987458,-7.311246	54.98952,-7.31523
Johannesburg.kml,-26.271853,27.989928	-26.29233,27.98766
Johannesburg.kml,-26.318701,28.197411	-26.26104,28.11243
Johannesburg.kml,-25.957504,28.258493	-26.18797,28.11083
Johannesburg.kml,-25.579299,27.323864	-26.17034,27.98911
SouthAmerica.kml,-21.878182,-78.243775	-23.29399,-73.31893
SouthAmerica.kml,-90.000000,82.580375	-58.81064,-64.98987
SouthAmerica.kml,10.960099,-25.200571	-3.61,-35.04825
SouthAmerica.kml,5.840055,-65.758819	12.24322,-63.5543
ArticSea.kml,70.3040542846529,0.00	82.18431,0.37497
ArticSea.kml,70.3040542846529,90.00	78.24891,108.56159
ArticSea.kml,70.3040542846529,-90.00	75.67493,-125.16936
ArticSea.kml,70.3040542846529,180.00	72.38338,-179.79667
Eurasia.kml,85.05912,-78.3927	76.55591,52.5743
Eurasia.kml,66.438599,-150.925880	67.62414,-172.70014
Eurasia.kml,65.1027398,-82.8867	59.58738,-16.13889
Eurasia.kml,33.370491,78.44697	22.30939,61.14171
