90.00,100.4736923462	90.0,100.4736923462
-90.0,-78.5843570345	-90.0,-78.5843570345
54.8265368427,-180.0	54.8265368427,-180.0 
-23.5749634763,180.0	-23.5749634763,180.0
0.0000000,0.00000000	0.0000000,0.00000000
67.4738463,-180.000000001	67.4738463,179.999999999
-45.546343,180.0000000001	-45.546343,-179.9999999999
90.00000001,156.348932967	89.99999999,-23.65106703
-90.0000001,-0.2378237232	-89.9999999,179.7621763
190.0000000,10.0000000000	-10.0000000,-170.000000
-200.000000,-20.0000000000	20.0000000,160.000000
NaN,156.348932967	NT
-68.546443,NaN	NT
