Diamond,54.996131,-7.321098	190.6791322,252.1594018
Diamond,54.994536,-7.320085	296.7807303,330.3244884
Diamond,54.990868,-7.330126	41.011498,48.77256506
Diamond,55.018917,-7.373498	127.6138448,128.9818673
NorthPole,80,0	-5.16537254,5.16537254
NorthPole,75,60	-1.653144439,1.829739449
NorthPole,85,175	-10.33004544,10.01848724
NorthPole,60,-52	-1.131545664,1.084087547
Fiji,-16.974646,172.910211	74.6275139,124.2281766
Fiji,-25.160165,180	-23.71883391,23.71883391
Fiji,-16.063469,-171.575298	-125.4319951,-83.62015275
Fiji,-7.98089,-179.875031	163.0964715,-161.7259409
Walls.kml,54.989488,-7.315895	-51.62866426,-13.20288589
Walls.kml,54.998395,-7.31714	-157.489757,-113.0777027
Walls.kml,55.012741,-7.353224	129.1443433,139.9649077
Walls.kml,54.981428,-7.344631	39.40078521,46.90961612
