Fiji,-16.974646,172.910211	-17.5429106,176.7254398
Fiji,-25.160165,180	-21.11762562,180
Fiji,-16.063469,-171.575298	-17.28615671,183.2238901
Fiji,-7.98089,-179.875031	-14.82261435,180.0405211
NorthPole,89,-171.96546	89.10067839,-171.96546
NorthPole,45,0	89.10067839,0
NorthPole,0,180	89.10067839,180
NorthPole,-45,84.562843	89.10067839,84.562843
SouthPole,90,0	-89.10067839,0
SouthPole,-89.5,180	-89.10067839,180
SouthPole,0,87.2154	-89.10067839,87.2154
SouthPole,-45,-124.215843	-89.10067839,-124.215843
GMT-Dateline,0,2	0,0
GMT-Dateline,45,178	45,180
GMT-Dateline,-70,91	-90,0
GMT-Dateline,90,-89	90,0
Equator,89,0	0,0
Equator,-88,180	0,180
Equator,2,40	0,40
Equator,-5,-30	0,-30
