1,-1	-1,1
0.0000000, 0.0000000 True
0.9999999, 0.9999999 True
0.9999999, -0.999999 True
-0.999999, -0.999999 True
-0.999999, 0.9999999 True
1.0000001, 0.0000000 False
-1.000001, 0.0000000 False
0.0000000, -1.000001 False
0.0000000, 1.0000001 False
0.0000000, 180.00000 False
90.000000, 0.0000000 False

1,-179	-1,179
0.0000000, 180.00000 True
0.9999999, 179.00001 True
0.9999999, -179.0001 True
-0.999999, -179.0001 True
-0.999999, 179.00001 True
1.0000001, 180.00000 False
-1.000001, 180.00000 False
0.0000000, -178.9999 False
0.0000000, 178.99999 False
0.0000000, 0.0000000 False
90.000000, 180.00000 False


ID Dublin.kml
53.242133	-6.324953 True
53.326966	-6.096787 True
53.447412	-6.315073 True
53.347662	-6.463969 True
53.274890	-6.481218 False
53.214779	-6.103948 False
53.276150	-6.045501 False
53.491910	-6.250659 False

ID DistrictOfColumbia.kml
38.973943	-77.157015 True
38.830782	-77.128551 True
38.832917	-76.962529 True
38.973892	-76.939611 True
38.892563	-76.902306 False
38.778314	-77.037320 False
38.891196	-77.189938 False
39.005375	-77.042591 False

ID NewZealand.kml
-38.094575	171.270312 True
-42.481945	175.361888 True
-36.584323	177.650440 True
-47.052394	166.912078 True
-45.797131	-177.342489 False
-30.466966	178.335937 False
-37.917991	162.678047 False
-51.040258	161.273544 False
